id,archivo,linea,clasificacion,motivo,contenido_original
52,intereses.csv,2,OMITIDO,Edad fuera del rango permitido: '',"137,Bob Johnson,7000,,prestamo"
53,transacciones.csv,4,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"3,2024-04-09,800,invalid"
54,cuentas_anuales.csv,6,OMITIDO,Monto vacio o no numerico: '',"120,2024/04/11,compra,,Ingreso mensual"
55,transacciones.csv,5,OMITIDO,Monto vacio o no numerico: '',"4,04/05/2024,,invalid"
56,cuentas_anuales.csv,26,OMITIDO,Tipo fuera del catalogo permitido: 'depósito',"102,2024/09/30,depósito,2000,Ingreso navideño"
57,intereses.csv,3,OMITIDO,Tipo fuera del catalogo permitido: '-1',"114,Unknown,,30,-1"
58,transacciones.csv,8,OMITIDO,Fecha ilegible o inexistente: 2024-13-01,"7,2024-13-01,700,debito"
59,intereses.csv,4,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99),"133,Alice Brown,12000,100,hipoteca"
60,cuentas_anuales.csv,51,OMITIDO,Tipo fuera del catalogo permitido: 'depósito',"111,2024/09/25,depósito,2000,Ingreso navideño"
61,transacciones.csv,10,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"9,07-04-2024,3000,invalid"
62,cuentas_anuales.csv,53,OMITIDO,Monto vacio o no numerico: '',"102,2024/11/05,retiro,,Ingreso navideño"
63,intereses.csv,7,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99),"108,Jane Smith,12000,100,prestamo"
64,transacciones.csv,11,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"10,2024/10/15,1500,invalid"
65,cuentas_anuales.csv,70,OMITIDO,Monto vacio o no numerico: '',"104,2024/07/31,deposito,,Compra en tienda"
66,intereses.csv,9,OMITIDO,Tipo fuera del catalogo permitido: '-1',"138,Steve Rogers,10000,25,-1"
67,transacciones.csv,16,OMITIDO,Monto vacio o no numerico: '',"15,01/06/2024,,desconocido"
68,cuentas_anuales.csv,72,OMITIDO,Monto vacio o no numerico: '',"117,2024-01-12,retiro,,Ingreso extra"
69,intereses.csv,10,OMITIDO,Saldo vacio o no numerico: '',"113,Charlie Green,,35,hipoteca"
70,transacciones.csv,17,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"16,2024-04-27,1000,invalid"
71,cuentas_anuales.csv,89,OMITIDO,Tipo fuera del catalogo permitido: 'depósito',"105,2024-04-01,depósito,1000,Retiro parcial"
72,intereses.csv,12,OMITIDO,Tipo fuera del catalogo permitido: '-1',"102,Alice Brown,12000,45,-1"
73,transacciones.csv,18,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"17,18/12/2024,-200,invalid"
74,cuentas_anuales.csv,91,OMITIDO,Tipo fuera del catalogo permitido: 'depósito',"114,2024/02/20,depósito,3000,Compra en tienda"
75,intereses.csv,15,OMITIDO,Edad fuera del rango permitido: 150 (rango permitido 18-99),"145,Charlie Green,8000,150,ahorro"
76,transacciones.csv,23,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"22,2024/06/05,1000,invalid"
77,cuentas_anuales.csv,98,OMITIDO,Monto vacio o no numerico: '',"117,2024-05-18,deposito,,Ingreso mensual"
78,intereses.csv,17,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99),"117,Steve Rogers,12000,100,ahorro"
79,transacciones.csv,24,OMITIDO,Fecha ilegible o inexistente: 2024-13-01,"23,2024-13-01,1000,credito"
80,intereses.csv,18,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99),"128,Diana Prince,7000,100,prestamo"
81,transacciones.csv,26,OMITIDO,Monto vacio o no numerico: '',"25,09/11/2024,,debito"
82,intereses.csv,19,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99),"147,Alice Brown,8000,100,hipoteca"
83,transacciones.csv,29,OMITIDO,Monto vacio o no numerico: '',"28,2024-09-03,,desconocido"
84,intereses.csv,20,OMITIDO,Edad fuera del rango permitido: '',"148,John Doe,7000,,prestamo"
85,transacciones.csv,30,OMITIDO,Monto vacio o no numerico: '',"29,27-05-2024,,debito"
86,intereses.csv,21,OMITIDO,Tipo fuera del catalogo permitido: '-1',"142,Steve Rogers,5000,,-1"
87,transacciones.csv,31,OMITIDO,Tipo fuera del catalogo permitido: 'invalid',"30,09/02/2024,-200,invalid"
88,intereses.csv,23,OMITIDO,Tipo fuera del catalogo permitido: '-1',"103,Jane Smith,8000,30,-1"
